Plz,Ort,Longitude,Latitude
1227,Les Acacias,46.1833,6.13333
1252,Meinier,46.2333,6.23333
1217,Meyrin,46.2167,6.06667
1213,Onex,46.1833,6.1
1228,Plan-les-Ouates,46.1667,6.11667
1243,Presinge,46.2333,6.25
1241,Puplinge,46.2,6.23333
1281,Russin,46.1833,6.01667
1242,Satigny,46.2167,6.03333
1286,Soral,46.1333,6.05
1226,Thônex,46.1833,6.16667
1214,Vernier,46.2167,6.08333
1290,Versoix,46.2667,6.16667
1222,Vésenaz,46.2333,6.2
1255,Veyrier,46.1833,6.2
8777,Betschwanden,46.95,9.01667
8865,Bilten,47.15,9.01667
8784,Braunwald,46.9333,8.98333
8767,Elm,46.9167,9.16667
8765,Engi,46.9833,9.15
8755,Ennenda,47.0333,9.08333
8757,Filzbach,47.1167,9.11667
8750,Glarus,47.0333,9.06667
8775,Hätzingen,46.95,9.03333
8750,Klöntal,47.0333,8.96667
8774,Leuggelbach,46.9667,9.05
8783,Linthal,46.9167,9
8775,Luchsingen,46.9667,9.03333
8766,Matt,46.9667,9.16667
8753,Mollis,47.0833,9.08333
8874,Mühlehorn,47.1167,9.16667
8752,Näfels,47.1,9.06667
8754,Netstal,47.05,9.05
8759,Netstal,47.05,9.05
8772,Nidfurn,46.9833,9.05
8867,Niederurnen,47.1167,9.05
8758,Obstalden,47.1167,9.15
8750,Riedern,46.95,7.36667
8762,Sool,46.9833,9.08333
8866,Ziegelbrücke,47.1167,9.05
7710,Alp Grüm,46.3833,10.0333
7492,Alvaneu Dorf,46.6833,9.63333
7451,Alvaschein,46.6833,9.55
7440,Andeer,46.6,9.43333
7546,Ardez,46.7833,10.2
7050,Arosa,46.7833,9.66667
6543,Arvigo,46.3,9.11667
7245,Ascharina,46.95,9.8
6547,Augio,46.3667,9.11667
7444,Ausserferrera,46.55,9.43333
7457,Bivio,46.4667,9.65
7402,Bonaduz,46.8167,9.4
7604,Borgonovo,46.35,9.6
7527,Brail,46.65,10.0333
7743,Brusio,46.2667,10.1167
6542,Buseno,46.2667,9.11667
6558,Cabbiolo,46.3333,9.2
6557,Cama,46.2667,9.16667
7748,Campascio,46.25,10.1167
7744,Campocologno,46.2333,10.1333
7122,Carrera,46.8,9.3
7602,Casaccia,46.3833,9.66667
7608,Castasegna,46.3333,9.51667
7027,Castiel,46.85,9.6
6546,Cauco,46.3333,9.11667
7408,Cazis,46.7167,9.43333
7512,Champfèr,46.4667,9.8
7000,Chur,46.85,9.5
7001,Chur,46.85,9.5
7002,Chur,46.85,9.5
7004,Chur,46.85,9.5
